BCS,Age,Sex,Length,Girth,Height,Weight
2.5,10-15,gelding,89,121,106,158
2.5,10-15,stallion,98,117,105,145
2.5,2-5,stallion,89,107,100,109
2.5,10-15,female,98,120,103,170
2.5,2-5,female,87,101,93,110
3.0,10-15,female,100,114,100,160
4.0,10-15,female,96,121,99,178
3.0,10-15,female,106,119,103,165
3.0,>20,stallion,101,117,103,164
3.0,<2,female,81,106,92,95
3.0,10-15,stallion,92,116,105,160
3.0,10-15,stallion,103,116,99,144
2.5,10-15,female,95,120,101,158
3.0,5-10,stallion,98,121,107,169
3.0,5-10,stallion,100,120,107,164
2.5,2-5,female,96,113,101,136
3.0,10-15,gelding,96,117,98,154
3.0,10-15,female,105,130,107,185
3.0,5-10,female,91,123,97,173
3.0,10-15,stallion,106,119,102,170
3.5,5-10,female,94,118,99,157
3.0,2-5,female,98,113,101,132
4.0,10-15,gelding,101,134,110,210
3.0,10-15,female,101,125,103,190
3.0,10-15,gelding,101,116,100,155
2.5,5-10,female,89,110,102,125
3.0,15-20,stallion,108,123,104,177
2.5,10-15,female,95,116,100,143
2.0,2-5,stallion,93,107,101,133
2.5,2-5,stallion,85,105,97,114
3.0,5-10,gelding,95,117,101,132
2.5,2-5,female,93,106,102,113
3.5,10-15,stallion,93,123,102,170
3.0,2-5,stallion,91,112,100,139
3.0,2-5,stallion,96,112,98,150
3.0,10-15,female,97,119,103,159
3.0,<2,stallion,69,90,91,65
3.0,2-5,female,91,111,103,132
3.0,>20,female,103,121,106,174
3.0,5-10,female,105,116,104,158
2.5,2-5,stallion,93,104,98,114
1.5,15-20,gelding,94,111,105,126
3.0,2-5,female,86,115,100,134
3.0,5-10,female,104,117,103,155
3.0,10-15,gelding,103,124,107,174
3.0,5-10,female,96,117,101,152
2.5,<2,female,87,110,97,112
2.5,10-15,stallion,93,116,105,137
2.0,2-5,stallion,97,111,102,132
2.5,10-15,stallion,98,115,103,143
2.5,<2,female,83,108,97,117
3.0,10-15,gelding,108,123,102,171
2.5,10-15,female,95,114,99,130
2.0,>20,female,97,114,104,146
3.0,>20,gelding,103,126,106,175
3.0,<2,female,80,94,89,75
3.0,10-15,female,99,120,100,169
2.5,>20,female,102,121,108,170
3.5,15-20,gelding,87,122,102,163
3.0,10-15,stallion,101,122,102,165
2.5,2-5,stallion,86,104,94,107
2.5,2-5,female,86,106,89,114
3.5,5-10,female,86,120,99,160
3.0,10-15,female,92,116,103,137
2.5,<2,stallion,83,106,96,108
3.0,2-5,stallion,93,110,100,146
3.0,5-10,female,103,122,108,183
3.0,10-15,gelding,107,113,109,196
3.0,15-20,stallion,99,118,106,184
2.5,<2,female,79,95,92,86
3.0,>20,gelding,98,129,106,173
3.0,10-15,stallion,98,115,103,161
2.5,10-15,female,100,124,108,153
3.0,15-20,stallion,102,118,104,174
3.5,15-20,gelding,106,129,110,214
3.5,2-5,female,101,123,98,184
